"Time Interval","Week","Area","Forecast min [MW]","Actual min [MW]","Actual max [MW]","Forecast max [MW]"
"01/01/2024 - 30/12/2024","Week 31","BZN|DE-LU","34409.9","35562.29","64148.57","64371.53"
"01/01/2024 - 30/12/2024","Week 32","BZN|DE-LU","34184.46","36704.5","61776.91","63275.16"
"01/01/2024 - 30/12/2024","Week 33","BZN|DE-LU","34716.9","35237.16","63023.44","63195.43"
"01/01/2024 - 30/12/2024","Week 34","BZN|DE-LU","35046.72","35288.37","62509.21","64555.39"
"01/01/2024 - 30/12/2024","Week 35","BZN|DE-LU","35541.96","35419.71","64374.78","64567.71"
"01/01/2024 - 30/12/2024","Week 36","BZN|DE-LU","35788.93","36080.19","65390.13","65111.55"
"01/01/2024 - 30/12/2024","Week 37","BZN|DE-LU","36158.79","35511.12","65440.64","65990.02"
"01/01/2024 - 30/12/2024","Week 38","BZN|DE-LU","36427.19","32700.21","65434.69","66430.53"
"01/01/2024 - 30/12/2024","Week 39","BZN|DE-LU","37168.68","35392.52","66167.6","66240.91"
"01/01/2024 - 30/12/2024","Week 40","BZN|DE-LU","37698.62","35376.81","65174.44","66963.04"
"01/01/2024 - 30/12/2024","Week 41","BZN|DE-LU","38058.41","37768.63","66755.83","67277.41"
"01/01/2024 - 30/12/2024","Week 42","BZN|DE-LU","38354.19","35545.72","66538.49","67825.24"
"01/01/2024 - 30/12/2024","Week 43","BZN|DE-LU","38442.3","35861.3","66876.62","68107.18"
"01/01/2024 - 30/12/2024","Week 44","BZN|DE-LU","38850.32","38862.8","65075.96","68497.58"
"01/01/2024 - 30/12/2024","Week 45","BZN|DE-LU","39345.11","39788.6","68986.77","70222.17"
"01/01/2024 - 30/12/2024","Week 46","BZN|DE-LU","39524.74","42652.05","71985.32","69599.39"
"01/01/2024 - 30/12/2024","Week 47","BZN|DE-LU","41125.03","44342.75","74335.24","70851.69"
"01/01/2024 - 30/12/2024","Week 48","BZN|DE-LU","42322.18","43539.43","72766.73","71179.02"
"01/01/2024 - 30/12/2024","Week 49","BZN|DE-LU","43078.64","43331.53","75490.43","72396.71"
"01/01/2024 - 30/12/2024","Week 50","BZN|DE-LU","42237.54","44379.35","74701.36","72571.13"
"01/01/2024 - 30/12/2024","Week 51","BZN|DE-LU","39507.36","40864.02","69800.12","70414.42"
"01/01/2024 - 30/12/2024","Week 52","BZN|DE-LU","34833.65","37920.48","61773.93","66910.36"
"01/01/2024 - 30/12/2024","Week 1","BZN|DE-LU","37526.94","","","67660.53"
